,Wavelength,Thymine,Guanine,Adenine,Cytosine,Mean Absorption Coefficient,Absorption Coefficient Std Dev
66,276,4.350020466902557e-05,4.979380558352302e-05,3.520633784083806e-05,4.169084862154166e-05,4.254779917873208e-05,6.001197210264912e-06
67,277,4.033640729779024e-05,5.014712489237732e-05,2.969206579850052e-05,3.9310822974189327e-05,3.9871605240714356e-05,8.36141624905753e-06
68,278,3.770341759002455e-05,5.027861059299223e-05,2.445717937281629e-05,3.701707043291197e-05,3.736406949718626e-05,1.0545279352654132e-05
69,279,3.470281869967669e-05,5.010173360682855e-05,2.034827323438296e-05,3.437631407928441e-05,3.488228490504315e-05,1.215397505104882e-05
70,280,3.184633368599755e-05,4.957026436878221e-05,1.6455625313762004e-05,3.1571569319094126e-05,3.236094817190897e-05,1.3540406274409904e-05
71,281,2.933391636706208e-05,4.8383260518508303e-05,1.323612797286296e-05,2.8983158933653995e-05,2.9984115948021837e-05,1.4381102143454563e-05
72,282,2.6481064364657995e-05,4.728045719245349e-05,1.0362893789963983e-05,2.614974335271365e-05,2.7568539674947276e-05,1.514143903432875e-05
73,283,2.3929398830278984e-05,4.4848235633900285e-05,8.024992449713143e-06,2.3027013126023057e-05,2.4957410009978868e-05,1.513423214164518e-05
74,284,2.115270452436412e-05,4.228058535608329e-05,5.941475776079489e-06,1.98384703335199e-05,2.23033089975117e-05,1.499111378301428e-05
75,285,1.850305256062132e-05,3.971209679871113e-05,4.002495844842051e-06,1.6594142522360342e-05,1.970294693163371e-05,1.4809621355598603e-05
76,286,1.6049579525909796e-05,3.67389986426578e-05,2.3893765105931336e-06,1.2971736362825624e-05,1.703742276049659e-05,1.4378490779867365e-05
77,287,1.3271339692717998e-05,3.426216198332912e-05,8.154476536775139e-07,9.616671126572157e-06,1.4491405114074198e-05,1.4179400912627526e-05
78,288,1.0759113724778677e-05,3.195029874047937e-05,1.1000418015884455e-07,6.720266621256707e-06,1.23849208166684e-05,1.3762378035650223e-05
79,289,9.342117075445162e-06,2.9738246650011307e-05,1.1125422766064479e-07,2.759566497190292e-06,1.0487796112576852e-05,1.3407592138136906e-05
80,290,7.860938112801585e-06,2.684171136000688e-05,1.1250427516244639e-07,1.3683800812513162e-07,8.737997939024012e-06,1.260810277387872e-05
81,291,6.426212262139192e-06,2.4388793610655552e-05,1.1375432266425016e-07,1.3835843043762984e-07,7.766779656474157e-06,1.147243182580944e-05
82,292,4.359262720019202e-06,2.083404121384671e-05,1.1500437016605746e-07,1.398788527501306e-07,6.362046789195525e-06,9.852084034513783e-06
83,293,3.4879459588047166e-06,1.8608911962316328e-05,1.1625441766786857e-07,1.413992750626363e-07,5.588627903462887e-06,8.823450438158937e-06
84,294,2.502723837273022e-06,1.6266647114261664e-05,1.1750446516967549e-07,1.4291969737513784e-07,4.757448778519875e-06,7.753889191105832e-06
85,295,1.914908296242021e-06,1.422420692047831e-05,1.1875451267147922e-07,1.4444011968763773e-07,4.100577462269862e-06,6.801248899669154e-06
86,296,1.3836590535503935e-06,1.2144547114440518e-05,1.2000456017327905e-07,1.4596054200013807e-07,3.448542817541082e-06,5.827247844050228e-06
87,297,9.063100746452554e-07,1.0071872971363414e-05,1.212546076750791e-07,1.4748096431263848e-07,2.8117296544990967e-06,4.853767671182287e-06
88,298,4.948549374050939e-07,8.05866079140738e-06,1.2250465517688908e-07,1.490013866251389e-07,2.2062554426536256e-06,3.905289218945765e-06
89,299,4.2527758906316737e-07,5.929430721000852e-06,1.23754702678697e-07,1.505218089376393e-07,1.657246205420089e-06,2.8513810573586902e-06
90,300,3.557002407212409e-07,4.959421521321857e-06,1.250047501805023e-07,1.520422312501399e-07,1.398042185868435e-06,2.376484778068902e-06
91,301,3.228091305959649e-07,4.382749056209008e-06,1.2625479768230642e-07,1.535626535626405e-07,1.24634390951248e-06,2.092743352945177e-06
92,302,3.241485875693913e-07,3.898807164207829e-06,1.468805814620852e-07,1.550830758751411e-07,1.1312298522786115e-06,1.846859529163845e-06
93,303,3.254880445428176e-07,3.34433624481928e-06,2.474052347322344e-07,1.5660349818764172e-07,1.0184582555704934e-06,1.5521203258780099e-06
94,304,3.268275015162445e-07,2.8579744304616886e-06,3.050115904404154e-07,1.581239205001447e-07,9.119843607296234e-07,1.299488028493762e-06
95,305,3.2816695848967306e-07,2.4488940074859453e-06,3.062616379422217e-07,1.596443428126509e-07,8.107417366826227e-07,1.0946611751611319e-06
96,306,3.295064154631016e-07,2.0239421582636064e-06,2.0318953938430677e-07,1.61164765125157e-07,6.79450719559043e-07,8.991780111160667e-07
97,307,3.308458724365301e-07,1.623887211833012e-06,1.655832152390941e-07,1.626851874376555e-07,5.707503717365729e-07,7.064769380746217e-07
98,308,3.310372234327358e-07,1.3083257640923127e-06,2.584713603732196e-07,1.642056097501535e-07,5.155099894121055e-07,5.329386074579684e-07
99,309,2.867873055605862e-07,1.0266751234791902e-06,3.112618279494471e-07,1.657260320626515e-07,4.4761257226296877e-07,3.912500273277468e-07
100,310,2.425373876884367e-07,7.910875210550827e-07,3.125118754512552e-07,1.672464543751519e-07,3.783458096424817e-07,2.8148220340359463e-07
101,311,1.9828746981628717e-07,5.112997238981264e-07,3.137619229530586e-07,1.6876687668765572e-07,2.98028998338782e-07,1.553372630797066e-07
102,312,1.540375519441376e-07,2.8166193057344666e-07,3.1501197045486105e-07,1.702872990001589e-07,2.3024968799315107e-07,8.006589159384936e-08
103,313,2.40896184913309e-07,2.827796366471515e-07,3.162620179566653e-07,1.7180772131265928e-07,2.529363902074463e-07,6.225641050809837e-08
104,314,3.4042814155414094e-07,2.759616295975552e-07,3.175120654584693e-07,1.7332814362515965e-07,2.768074950588313e-07,7.396652480100292e-08
105,315,4.399600981949729e-07,2.2382064125925825e-07,3.1876211296027306e-07,1.7484856593766006e-07,2.8934785458804106e-07,1.1683770696708789e-07
106,316,5.26215239560729e-07,1.716796529209613e-07,3.200121604620783e-07,1.7636898825016286e-07,2.9856901029848283e-07,1.6664970126040622e-07
107,317,4.819653216885727e-07,1.307716106233907e-07,3.2126220796388815e-07,1.778894105626658e-07,2.779721377096293e-07,1.582948690894367e-07
108,318,4.377154038164164e-07,1.3188931669709512e-07,3.225122554656935e-07,1.794098328751687e-07,2.678817022135934e-07,1.3922306338085708e-07
109,319,3.934654859442601e-07,1.330070227707991e-07,3.237623029674938e-07,1.809302551876716e-07,2.5779126671755615e-07,1.2143364994573118e-07
110,320,3.492155680721038e-07,1.3412472884450078e-07,3.248549467964591e-07,1.824506775001745e-07,2.4766148030330953e-07,1.0553847125705654e-07
