,Wavelength,Chymo.,Hem,HSA,hum. IgG,Lys,bov. IgG,Mean Absorption,Absorption Std Dev,Mean Absorption Coefficient,Absorption Coefficient Std Dev
5,200,0.6293340163934427,0.538606557377049,0.5835928961748633,0.5965710382513661,0.6622698612862548,0.5970081967213113,0.6012304277007147,0.041923723467694074,35.26278168332637,2.45886941159496
6,201,0.6146680327868852,0.5280437158469949,0.5709398907103822,0.5839180327868854,0.6495283732660783,0.5866557377049177,0.5889589638503572,0.04097726163459681,34.54304773315877,2.403358453642041
7,202,0.5985573770491802,0.5136780923994043,0.5523201542912243,0.5611420765027333,0.6257517564402804,0.5608852459016395,0.5687224504307437,0.03888512595763863,33.35615545048349,2.2806525488351097
8,203,0.5709508196721321,0.4965318761384334,0.531209257473481,0.5347540983606567,0.6006557377049178,0.5319081967213115,0.5443349976784888,0.036287932529126835,31.925806315453883,2.1283244885118373
9,204,0.5371516393442617,0.4748754098360666,0.4945846994535518,0.4934098360655747,0.5644426229508208,0.4944524590163934,0.5098194444444448,0.033732307973584896,29.90143369175629,1.9784344852542457
10,205,0.5041894353369769,0.4514098360655739,0.4680510018214936,0.4580327868852462,0.5327868852459016,0.460109289617486,0.4790965391621131,0.032264722003419045,28.099503763173782,1.892359061784108
11,206,0.4735154826958103,0.4309230769230771,0.4350382513661203,0.4313859910581225,0.5045245901639346,0.4338770491803277,0.45154407356456533,0.030678388706753653,26.483523376220838,1.7993189857333518
12,207,0.4457704918032794,0.4102014051522251,0.4064262295081971,0.4000655737704928,0.4754754098360654,0.4078907103825135,0.4243049700754622,0.029848680676550415,24.88592199856083,1.7506557581554494
13,208,0.4136252927400474,0.3885105386416864,0.3790856102003641,0.3605355191256825,0.4474566744730673,0.3672622950819678,0.39274598837713587,0.03262110495835971,23.034955330037292,1.9132612878803346
14,209,0.3795409836065575,0.3671868852459019,0.3531409836065567,0.3319250585480094,0.4180196721311479,0.3300196721311479,0.36330554254488695,0.0330705081530392,21.308242964509496,1.9396192465125626
15,210,0.3551366120218583,0.3460218579234975,0.3282950819672133,0.3058469945355191,0.3961400894187779,0.3057377049180328,0.33952972346414984,0.03433103618847912,19.913766772090895,2.013550509588218
16,211,0.3318934426229509,0.3289421915444349,0.3066706408345754,0.2859089253187615,0.379827123695976,0.2827322404371585,0.31932909407564286,0.0361296551318631,18.72897912467113,2.119041356707513
17,212,0.3124655737704925,0.3122329594477998,0.2869250585480095,0.2652581967213114,0.3644292101341277,0.2626921675774136,0.3006671943665258,0.03800870796001941,17.6344395522889,2.229249733725478
18,213,0.2974426229508198,0.2974426229508197,0.268192037470726,0.2468269581056468,0.3514932935916538,0.249295081967213,0.2851154361728132,0.03935846992701825,16.722312972012503,2.3084146584761434
19,214,0.2849999999999998,0.2836393442622952,0.2541311475409837,0.2360910746812385,0.342087431693989,0.2355052160953797,0.2727423690456477,0.040383243563417714,15.996619885375228,2.36851868407142
20,215,0.2739247830279651,0.2699786172487529,0.2402086438152013,0.2194336810730251,0.3373472429210134,0.2206557377049176,0.26025811763181256,0.04440937651047809,15.264405726206013,2.604655513811031
21,216,0.2649932497589198,0.2591760513186031,0.2238956780923995,0.2081400894187779,0.3298181818181818,0.2068524590163933,0.24881261823721257,0.0468334888327728,14.5931154391327,2.7468321896054424
22,217,0.2562824716267339,0.2483734853884534,0.2108065573770493,0.1992534678436318,0.326407494145199,0.1981358313817329,0.23987655129380006,0.04912543808624697,14.069005940985338,2.881257365762285
23,218,0.2488499369482976,0.2380765027322404,0.1988437158469947,0.1914605067064084,0.3242719382835101,0.190227782571182,0.23195506384810557,0.051619086748842,13.604402571736395,3.02751241928692
24,219,0.2420580075662043,0.2288743169398908,0.1882314368370301,0.1851584699453552,0.3202121504339441,0.1822364106988784,0.2244617987368838,0.05317443164645422,13.164914881928667,3.118734993926933
25,220,0.2355611601513242,0.2196721311475411,0.1776759884281584,0.1759562841530058,0.3159463487332342,0.1742450388265748,0.21650949190663973,0.05513536884996033,12.698503924143091,3.233745973604711
26,221,0.2270668348045398,0.2090767903364972,0.1666622950819675,0.171309749784297,0.3084172876304025,0.1696393442622951,0.20869538364999984,0.05472102738221054,12.240198454545444,3.2094444212440196
